,Car Id,Scraped Date,Brand,Model,Condition,Year,Transmission,Fuel,Colour,Location,Mileage,Engine Type,Price
14,https://www.cars45.com/jEY4wdZJAhFoxX4zPqrlZwLB7AKnJAc,2024-06-18,Mercedes-Benz,C300,Nigerian Used,2017,Automatic,Petrol,Black,Lagos State,123525 km,V4,"17,850,000"
15,https://www.cars45.com/jEY4wdZJApWh4Es5vpXEqcHQZSuWANM,2024-06-18,Toyota,Corolla,Nigerian Used,2014,Automatic,Petrol,Gray,Abuja (FCT),32253 km,V4,"10,290,000"
16,https://www.cars45.com/jEY4wdZrGg3qvUgavtNnETiKfNngsMR,2024-06-18,Mitsubishi,L200,Nigerian Used,2016,Manual,Petrol,White,Lagos State,83156 km,V4,"14,700,000"
17,https://www.cars45.com/jEY4wdZXpipyejRtcAHDPqJPOiVF0Y8,2024-06-18,Volkswagen,Beetle,Nigerian Used,2012,Automatic,Petrol,White,Lagos State,141211 km,V4,"9,135,000"
18,https://www.cars45.com/jEY4wdZlVRW2kSAB9jyz1R6KDPIpGI2,2024-06-18,Lexus,RX,Foreign Used,2012,Automatic,Petrol,Silver,Lagos State,183027 km,V6,"23,920,000"
19,https://www.cars45.com/jEY4wdZfHasfM2k6K0Uk81b8mGQjCr2,2024-06-18,Toyota,Sienna,Nigerian Used,2006,Automatic,Petrol,Gray,Rivers State,139127 km,V6,"3,675,000"
20,https://www.cars45.com/jEY4wdZXenW4X4iuFFMSVdaF7nKGrxH,2024-06-18,Honda,Accord,Nigerian Used,2003,Automatic,Petrol,Black,Abuja (FCT),228992 km,V4,"2,205,000"
21,https://www.cars45.com/jEY4wdZVpwP1630I73pW1Q6timr7ZLd,2024-06-18,Mercedes-Benz,E350,Nigerian Used,2010,Automatic,Petrol,Black,Enugu State,127430 km,V6,"7,875,000"
22,https://www.cars45.com/jEY4wdZq1BEdbm7TfxO0JZksI7yfXnu,2024-06-18,Toyota,Highlander,Foreign Used,2021,Automatic,Petrol,Silver,Lagos State,49120 km,V6,"76,960,000"
23,https://www.cars45.com/jEY4wdZElc72i14MW7t65K1GA7PoovN,2024-06-18,Honda,Accord,Nigerian Used,2005,Automatic,Petrol,Silver,Lagos State,216089 km,V4,"2,912,000"
24,https://www.cars45.com/jEY4wdZIBsyPluuL1Laosla2Yt6FXKk,2024-06-18,Toyota,Corolla,Nigerian Used,2007,Automatic,Petrol,Black,Lagos State,207723 km,V4,"5,200,000"
25,https://www.cars45.com/jEY4wdZSlQUevqg6E8dbdbG3tLIm4FL,2024-06-18,Toyota,Yaris,Nigerian Used,2008,Manual,Petrol,Gold,Lagos State,193950 km,V4,"3,150,000"
26,https://www.cars45.com/jEY4wdZnptjzksnqqCqeD5KvUwjmMP0,2024-06-18,Toyota,Avensis,Nigerian Used,2003,Automatic,Petrol,Gray,Lagos State,176457 km,V4,"2,425,000"
27,https://www.cars45.com/jEY4wdZU0iIBADIBntUWzx0hlxIvCgX,2024-06-18,Peugeot,407,Nigerian Used,2008,Automatic,Petrol,Gray,Abuja (FCT),193552 km,V4,"2,625,000"
28,https://www.cars45.com/jEY4wdZiBzgVRRZI5o1cDuoiaaHzVjl,2024-06-18,Toyota,Corolla,Nigerian Used,2013,Automatic,Petrol,Silver,Ondo State,70403 km,V4,"7,800,000"
29,https://www.cars45.com/jEY4wdZI5IqDGKewFkked8n8YALYFrc,2024-06-18,Toyota,Venza,Nigerian Used,2009,Automatic,Petrol,Brown,Delta State,214895 km,V6,"9,450,000"
30,https://www.cars45.com/jEY4wdZfkd1PWM22q4U8vocqnDdfVIB,2024-06-18,Mercedes-Benz,E300,Foreign Used,2017,Automatic,Petrol,White,Abuja (FCT),113151 km,V4,"33,390,000"
31,https://www.cars45.com/jEY4wdZWLZa7CIIrJ5aUreysUI3gFiI,2024-06-18,Honda,Accord,Nigerian Used,2007,Automatic,Petrol,Silver,Rivers State,239948 km,V4,"2,652,000"
32,https://www.cars45.com/jEY4wdZm6CX7dLatYGK7SGM15Q7eTFd,2024-06-18,Volkswagen,Passat,Nigerian Used,2018,Automatic,Petrol,Gray,Abuja (FCT),94717 km,V4,"8,925,000"
33,https://www.cars45.com/jEY4wdZIw26xuF0vjTEwRx7zP2vGDPz,2024-06-18,Lexus,RX,Nigerian Used,2002,Automatic,Petrol,Black,Lagos State,630957 km,V6,"3,675,000"
34,https://www.cars45.com/jEY4wdZiDIPqn5r5w7Ki8zgiK6t05iE,2024-06-18,Toyota,RAV4,Nigerian Used,2015,Automatic,Petrol,Red,Lagos State,171637 km,V4,"14,700,000"
